entity,n-revs
arch/x86/kvm/emulate.c,17
arch/x86/crypto/aegis128-aesni-glue.c,17
drivers/usb/cdns3/cdns3-gadget.c,17
drivers/iio/addac/ad74115.c,17
drivers/gpu/drm/vmwgfx/ttm_object.h,17
arch/riscv/kernel/tests/module_test/test_sub6.S,17
include/pcmcia/device_id.h,17
Documentation/translations/zh_CN/kernel-hacking/hacking.rst,17
drivers/usb/gadget/function/u_serial.c,17
include/uapi/linux/edd.h,17
drivers/gpu/drm/nouveau/nvkm/falcon/gp102.c,17
drivers/mtd/chips/cfi_cmdset_0002.c,17
drivers/net/wwan/iosm/iosm_ipc_task_queue.h,17
drivers/gpu/drm/amd/display/dc/inc/hw/hw_shared.h,17
tools/perf/scripts/python/bin/syscall-counts-by-pid-record,17
arch/arm64/boot/dts/ti/k3-j721s2-main.dtsi,17
drivers/net/ethernet/netronome/nfp/nfp_asm.h,17
fs/xfs/xfs_dquot_item_recover.c,17
sound/isa/galaxy/Makefile,17
include/linux/netdev_features.h,17
drivers/pinctrl/freescale/pinctrl-mxs.h,17
arch/arm64/kernel/reloc_test_core.c,17
arch/mips/fw/arc/init.c,17
tools/testing/selftests/kvm/aarch64/vgic_irq.c,17
Documentation/devicetree/bindings/net/hisilicon-femac.txt,17
Documentation/userspace-api/media/v4l/metafmt-vivid.rst,17
scripts/Makefile.asm-headers,17
drivers/interconnect/qcom/qdu1000.c,17
Documentation/bpf/prog_cgroup_sockopt.rst,17
include/uapi/linux/ccs.h,17
kernel/entry/kvm.c,17
drivers/scsi/arcmsr/arcmsr.h,17
net/bridge/netfilter/ebtable_filter.c,17
include/linux/arm-cci.h,17
drivers/crypto/caam/sg_sw_qm2.h,17
kernel/time/jiffies.c,17
drivers/platform/x86/winmate-fm07-keys.c,17
tools/perf/pmu-events/arch/x86/sierraforest/uncore-io.json,17
arch/arc/kernel/head.S,17
fs/ext4/inode-test.c,17
drivers/gpu/drm/amd/display/dc/dsc/rc_calc.h,17
include/net/pkt_cls.h,17
tools/perf/pmu-events/arch/x86/jaketown/other.json,17
drivers/misc/mei/hdcp/mei_hdcp.h,17
fs/pstore/platform.c,17
drivers/firmware/efi/test/efi_test.h,17
tools/perf/pmu-events/arch/s390/cf_z15/crypto6.json,17
include/uapi/linux/if_tunnel.h,17
include/uapi/linux/mptcp.h,17
drivers/accel/qaic/qaic_control.c,17
arch/sh/include/asm/mmu_context_32.h,17
arch/m68k/hp300/hp300map.map,17
drivers/gpu/drm/nouveau/include/nvkm/engine/ce.h,17
drivers/gpu/drm/meson/meson_dw_mipi_dsi.c,17
drivers/gpu/drm/nouveau/nvkm/subdev/iccsense/gf100.c,17
include/linux/usb/audio.h,17
drivers/media/common/v4l2-tpg/Makefile,17
drivers/net/ethernet/stmicro/stmmac/dwmac4_dma.h,17
Documentation/devicetree/bindings/phy/phy-mvebu.txt,17
arch/sh/include/mach-kfr2r09/mach/romimage.h,17
arch/mips/dec/wbflush.c,17
arch/arm/mach-mstar/Kconfig,17
include/linux/crc32poly.h,17
Documentation/devicetree/bindings/clock/ti/davinci/pll.txt,17
include/trace/events/btrfs.h,17
arch/m68k/kernel/sun3-head.S,17
arch/powerpc/kernel/systbl.c,17
Documentation/devicetree/bindings/arm/ti/k3.yaml,17
include/linux/mfd/max77693-private.h,17
tools/testing/selftests/powerpc/dscr/dscr_inherit_exec_test.c,17
sound/soc/samsung/odroid.c,17
Documentation/core-api/watch_queue.rst,17
drivers/net/wireless/ti/wl18xx/scan.h,17
arch/alpha/boot/main.c,17
drivers/firmware/efi/libstub/loongarch-stub.h,17
arch/sparc/include/asm/auxio.h,17
drivers/infiniband/ulp/rtrs/rtrs-clt.h,17
kernel/cgroup/pids.c,17
drivers/net/wireless/mediatek/mt76/mac80211.c,17
drivers/staging/media/atomisp/pci/ia_css_types.h,17
usr/dummy-include/stdlib.h,17
crypto/ecb.c,17
tools/include/uapi/asm-generic/mman-common.h,17
drivers/net/ethernet/fungible/funcore/fun_queue.h,17
